Name,Address,Fees,Placement,Hostel,Transportation,Link
"Parul University, Vadodara","Waghodia Road, Vadodara, Gujarat 391760","Approx ₹3,00,000 per year",N/A,Yes,Yes ,https://paruluniversity.ac.in/course/bachelor-of-science-in-genetics-bsc-genetics/
Sardar Patel University,"Vallabh Vidyanagar, Gujarat 388120 ","Approx ₹2,00,000 per year",N/A,Yes,Yes ,https://spuvvn.edu/
"Gujarat University, Ahmedabad","Navrangpura, Ahmedabad, Gujarat 380009 ","Approx ₹1,50,000 per year",N/A,yes,Yes ,https://www.gujaratuniversity.ac.in/
