Name,Address,Fees,Placement,Hostel,Transportation,Link
St. Xavier's College (Autonomous),"Surajmal Zaveri Rd, Navrangpura, Ahmedabad, Gujarat 380009    ","₹60,185 per year",N/A,Yes,Yes ,https://www.sxca.edu.in/
Gujarat University ," Navrangpura, Ahmedabad, Gujarat","₹40,000 - 50,000 per year",N/A,Yes,Yes ,https://www.gujaratuniversity.ac.in/
M.G. Science Institute,"Near Gujarat University, Navrangpura, Ahmedabad, Gujarat","₹50,000 - 60,000 per year ",N/A,Yes,Yes ,https://www.mguvadodara.edu/
L.J. Institute of Biotechnology ,"Opp. Law Garden, Ellis Bridge, Ahmedabad, Gujarat ","₹70,000 - 80,000 per year",N/A,Yes,Yes ,https://www.ljinstitute.in/biotechnology/ 
