Name,Address,Fees,Placement,Hostel,Transportation,Link
L.D. College of Engineering,"GMV Complex, Nr. Nehru Bridge Ahmedabad, Gujarat 380015","Approx  ₹8,490",75% ,Yes,Yes,https://ldce.ac.in/
Vishwakarma Government Engineering College,"69, Shri Hari Estate, Panna Estate Rd, Ahmedabad - 380006","₹1,500 per year",60% (Approximate),Yes,Yes,https://www.vgecg.ac.in/
Nirma University,"Nr. Ashram Road, Ahmedabad, Gujarat 382455",₹2.34L - ₹2.60L,100%,Yes,Yes,https://www.nirmauni.ac.in/
Indus University,"Rancharda, Via, Shilaj, Gujarat 382115","Approx ₹1,01,000",70-80%,Yes,Yes,https://indusuni.ac.in/home.php
Ahmedabad Institute of Technology (AIT),"Thaltej, Ahmedabad, Gujarat 380015",₹1.5L (approx.),60-65% ,Yes,No,http://www.aitindia.in/
SAL Education,"19, 20, opp. Science City, Sola, Ahmedabad, Gujarat 380060","₹61,000 - ₹66,000 per year",70%,No,No,https://www.sal.edu.in/
Ahmedabad University,"Commerce Six Roads, Naranpark Society, Navrangpura, Ahmedabad, Gujarat 380009",₹2.25L - ₹2.75L per year,91%,yes,Yes,https://ahduni.edu.in/
