Name,Address,Fees,Placement,Hostel,Transportation,Link
Rai University,"Village Saroda, Taluka Dholka, Ahmedabad ( Gujarat) - 382240 ","₹60,000 per annum",N/A,Yes,yes ,https://www.raiuniversity.ac.in/
Gujarat University,"University Area, Navrangpura, Ahmedabad, Gujarat 380009 ","₹30,000 per annum",N/A,Yes,Yes ,https://www.gujaratuniversity.ac.in/
Sardar Patel University,"Vallabh Vidyanagar, Gujarat 388120  ","Approx ₹40,000 per year ",N/A,Yes,Yes ,https://spuvvn.edu/
M.G. Science Institute,"M.G. Science Institute, Near Parimal Garden, Ellis Bridge, Ahmedabad - Gujarat  ","Approx ₹65,000 per year.",N/A,No,No ,https://www.mguvad.edu.in/
L.J. College of Science," L.J. College of Science, Ahmedabad - Gujarat   ","Approx ₹55,000 per year.",N/A,No,No ,https://ljinstitutes.edu.in/college-of-science/ 
