Name,Address,Fees,Placement,Hostel,Transportation,Link
L.D. College of Engineering,"GMV Complex, Nr. Nehru Bridge, Ahmedabad, Gujarat 380015","Rs.8,490 - Rs.10,490 per year",75% ,Yes,Yes,https://ldce.ac.in/
Vishwakarma Government Engineering College,"69, Shri Hari Estate, Panna Estate Rd, Ahmedabad - 380006",N/A,60% (Approx),Yes,Yes,https://www.vgecg.ac.in/
Aditya College Of Engineering,"XFFP+5H3, 1st St, Sarkhej, Ahmedabad, Sarkhej-Okaf, Gujarat 382210",N/A,N/A,Yes,Yes,https://www.acoe.edu.in/
