Name,Address,Fees,Placement,Hostel,Transportation,Link
National Institute of Design			,"paldi, Ahmedabad, Gujarat 380007 "," Approx ₹8,00,00 per year	",N/A,Yes,No,https://nid.edu/
"Institute of Design, Nirma University 			"," Sarkhej - Gandhinagar Highway, Ahmedabad, Gujarat 382481"," Approx ₹4,00,000 per year",N/A,Yes,Yes,https://ied.nirmauni.ac.in/
Unitedworld Institute of Design (UID)			," Karnavati University, Uvarsad, Gandhinagar, Gujarat 382421 "," Approx ₹6,00,000 per year 	",N/A,Yes,Yes,https://uid.ku.edu.in/
Centre for Environmental Planning and Technology University (CEPT)			," University Road, Ahmedabad, Gujarat 380009","Approx ₹3,00,000 per year	",N/A,Yes,No,https://cept.ac.in/  
