Name,Address,Fees,Placement,Hostel,Transportation,Link
Silver Oak University,"352/353, Silver Oak University, 370/371, near Bhavik Publication, Gota Gam, Gota, Ahmedabad, Gujarat 382481","Approx ₹78,000 per year ",65-70% ,Yes,Yes,https://silveroakuni.ac.in/
Indus University,"Rancharda, Via, Shilaj, Gujarat 382115","₹1,80,000 per year",70-80%,Yes,Yes,https://indusuni.ac.in/home.php
Ahmedabad Institute of Aeronautical Engineering & Information Technology,"Beside Vasantnagar Township 380061, Gota Ognaj road, Off, Gota Cross roads, Ahmedabad, Gujarat 380061",Approx₹1.5L,N/A,No,No,https://www.univariety.com/college/Ahmedabad-Institute-of-Aeronautical-Engineering-Information-Technology-AIAEIT/80c91ec0
