Name,Address,Fees,Placement,Hostel,Transportation,Link
Gujarat University,"Navrangpura, Ahmedabad, Gujarat 380009   ","Approx ₹40,000 - 50,000per year",N/A,Yes,Yes,https://www.gujaratuniversity.ac.in/
Sardar Patel University,"Vallabh Vidyanagar, Gujarat 38812  ","Approx ₹50,000 - 60,000 per year",N/A,Yes,Yes,https://spuvvn.edu/ 
M.G. Science Institute,"M.G. Science Institute, Near Parimal Garden, Ellis Bridge, Ahmedabad - Gujarat   ","Approx ₹60,000 - 70,000 per year ",N/A,No,No ,https://www.mguvadodara.edu/ 
L.J. Institute of Pharmacy,"L J Institute Of Management Studies Institute Of Pharmacy, L.J. Campus, Sanand Circle, Sarkhej - Gandhinagar Hwy, Sarkhej, Ahmedabad, Gujarat 382210   ","Approx ₹ 70,000 - 80,000 per year",N/A,Yes,yes ,https://www.ljinstitute.in/ 
"Shree S.K. Patel College of Pharmaceutical Education and Research, Ganpat University","Mehsana-Gozaria Highway,Kherva, Ganpat Vidyanagar, Mehsana, Gujarat 384012  ","Approx ₹80,000 - 90,000 ",N/A,Yes,Yes,https://www.ganpatuniversity.ac.in/ 
