Name,Address,Fees,Placement,Hostel,Transportation,Link
L.D. College of Engineering,"GMV Complex, Nr. Nehru Bridge, Ahmedabad, Gujarat 380015","₹8,490",75% ,Yes,Yes,https://ldce.ac.in/
Silver Oak University,"352/353, Silver Oak University, 370/371, near Bhavik Publication, Gota Gam, Gota, Ahmedabad, Gujarat 382481","₹63,000 - 78,000 per annum",65-70% ,Yes,Yes,https://silveroakuni.ac.in/
Vishwakarma Government Engineering College,"69, Shri Hari Estate, Panna Estate Rd, Ahmedabad - 380006","6,000 per year",60% (Approximate),Yes,Yes,https://www.vgecg.ac.in/
Indus University,"Rancharda, Via, Shilaj, Gujarat 382115","1,01,000 per year",70-80%,Yes,Yes,https://indusuni.ac.in/home.php
Ahmedabad Institute of Technology (AIT)," Thaltej, Ahmedabad, Gujarat 380015","₹65,000 - ₹75,000 per semester",60-65% ,Yes,No,http://www.aitindia.in/
LJ University,"LJ Campus, LJ College Rd, near Sanand - Sarkhej Road, Makarba, Sarkhej-Okaf, Gujarat 382210","₹73,000",60-70%,yes ,yes,https://www.ljku.edu.in/
SAL Education,"19, 20, opp. Science City, Sola, Ahmedabad, Gujarat 380060",2.96L,70%,No,No,https://www.sal.edu.in/
Sardar Patel Institute of Technology,"Drive In Rd, near Doordarshan Tower, Thaltej, Ahmedabad, Gujarat 380054",6.09L,N/A,No,No,http://www.spit.ac.in/
