Name,Address,Fees,Placement,Hostel,Transportation,Link
"Gujarat University - [GU], Ahmedabad","Navrangpura, Ahmedabad, Gujarat 380009  ","₹5,15,000/ Year ",N/A,yes,Yes ,https://gujaratuniversity.ac.in/
"AMC Dental College, Ahmedabad","Bhalakya Mill Compound, Anupam Cinema Rd, Opposite Kashi Nasta House, Khokhra, Ahmedabad, Gujarat 380008  ","₹5,15,000 /Year",N/A,yes,No,https://www.amcmet.org/college/amc-dental-college/
"Ahmedabad Dental College & Hospital - [ADC], Ahmedabad","Bhadaj - Ranchodpura Road, Off, Sardar Patel Ring Rd, near Science City, Ahmedabad, Gujarat 382115  ","₹3,14,000/Year ",N/A,yes,No ,https://adc.org.in/
"Government Dental College & Hospital - [GDCH], Ahmedabad","Civil Hospital Campus, Ahmedabad, Civil Hospital Campus, Civil Hospital Rd, Asarwa, Ahmedabad, Gujarat 380016  ","₹4,000/ Year",N/A,Yes,No ,https://www.gdchahmd.org/ 
