Name,Address,Fees,Placement,Hostel,Transportation,Link
SKUM College of Physiotherapy,"20, Hostel Rd, Sunrise Park, Gurukul, Ahmedabad, Gujarat 380052 ",Approx ₹3.83L,75%,Yes,yes ,http://skumedu.org/physiotherapy_college.html
Government Physiotherapy College,"Haripura, Girdhar Nagar, Ahmedabad, Gujarat 380016",Approx ₹1.5L - 2L,85%,Yes,Yes ,N/A
Satish Goswami College Of Physiotherapy,"Naroda - Dehgam Road, Shree Monark Education Trust, Ta. Dascroi, Dist. Ahmedabad, Vahelal, Gujarat 382330 ",Approx ₹3L - 4L,70%,Yes,Yes ,http://www.sgcpt.org/
Mahatma Gandhi Physiotherapy College,"Opp. G D High School Memco Naroda Road, Saijpur, Krishna Nagar, Saijpur Bogha, Ahmedabad, Gujarat 382345	 ",Approx ₹3.5L - 4L,65%,Yes,Yes ,https://mgcolleges.in/
