Name,Address,Fees,Placement,Hostel,Transportation,Link
Anant National University			,"Nirma University Rd, Sarkhej, Ahmedabad, Gujarat 382481, India","₹2,25,000 - ₹2,75,000",N/A,No,No,https://anu.edu.in/programme/bachelor-of-visual-arts/:
Sheth C N College Of Fine Arts			,"Opp. Grand Mall, Ambavadi Road, Elisbridge, Surendra Mangaldas Rd, Ahmedabad, Gujarat 380006, India","₹20,000 - ₹30,000",N/A,No,No,http://cnvidyavihar.edu.in/institutions/colleges/fine-arts-college/:
CEPT University - Ahmedabad University			,"Nr. Gujarat University, Navrangpura, Ahmedabad, Gujarat 380009, India","₹40,000 - ₹60,000	",N/A,No,No,https://cept.ac.in/: https://cept.ac.in/
Lalbhai Dalpatbhai Arts College,"Sardar Patel Marg, Ellis Bridge, Ahmedabad, Gujarat 380006, India","₹10,000 - ₹15,000	",N/A,Yes,No,https://www.ldarts.org/: https://www.ldarts.org/ 
