Name,Address,Fees,Placement,Hostel,Transportation,Link
NID Ahmedabad,"Paldi, Ahmedabad, Gujarat 380007","₹20,000 - ₹30,000	",N/A,No,No,https://www.nid.edu/
Gujarat University,"Ahmedabad University South Campus, 1, Central University Rd, Navrangpura, Ahmedabad, Gujarat 380009","₹5,000 - ₹10,000",N/A,Yes,No,https://www.gujaratuniversity.ac.in/
L.D. Arts College,"Sardar Patel Marg, Ellis Bridge, Ahmedabad, Gujarat 380006","₹10,000 - ₹15,000		",N/A,Yes,No,https://www.ldarts.org/
Ahmedabad Institute of Management (AIM)			,"water tank, AIBM Campus, besides, Usmanpura, Ahmedabad, Gujarat 380014","₹20,000 - ₹30,000		",N/A,No,No,https://aim.edu.in/
CEPT University,"Nr. Gujarat University, Navrangpura, Ahmedabad, Gujarat 380009","₹20,000 - ₹30,000	",N/A,No,No,https://cept.ac.in/ 
