Name,Address,Fees,Placement,Hostel,Transportation,Link
Gujarat University,"Navrangpura, Ahmedabad, Gujarat 380009 ",Approx ₹82K,N/A,Yes,yes ,https://gujaratuniversity.ac.in/
"St. Xavier's College, Ahmedabad","Opposite Gujarat University, Navrangpura, Ahmedabad, Gujarat 380009",Approx ₹3.6K,N/A,Yes,yes ,https://sxca.edu.in/
M.G. Science Institute,"M.G. Science Institute, Near Parimal Garden, Ellis Bridge, Ahmedabad - Gujarat  ",N/A,N/A,No,No ,https://www.mguvad.edu.in/
Gujarat Arts and Science College," Ellisbridge, Ahmedabad, Gujarat 380006",N/A,N/A,yes,No ,https://gasc.gujarat.gov.in/ 
