Name,Address,Fees,Placement,Hostel,Transportation,Link
National Institute of Design (NID) 			," Paldi, Ahmedabad, Gujarat 380007 ","₹1,08,000 per semester	",N/A,No,No,https://nid.edu/
Centre for Environmental Planning and Technology University (CEPT) 			,"niversity Road, Navrangpura, Ahmedabad, Gujarat 380009","₹6,00,000 per year placement",N/A,Yes,yes, https://cept.ac.in/ 
Unitedworld Institute of Design (UID)			,"Karnavati University, Uvarsad, Vallabh Vidyanagar, Gujarat 388120 ","₹8,00,000 per year	",N/A,yes ,Yes, https://uid.edu.in/
"Institute of Design, Nirma University (IDNU)			","Sarkhej - Gandhinagar Highway, Chandlodia, Ahmedabad, Gujarat 382481 ","₹5,00,000 per year",N/A,Yes,Yes,https://instituteofdesign.nirmauni.ac.in/
Indus University			,"Rancharda, Ahmedabad, Gujarat 382115","₹4,00,000 per year",N/A,Yes,No,https://www.indusuniversity.ac.in/  
