Name,Address,Fees,Placement,Hostel,Transportation,Link
"B.J. Medical College, Ahmedabad ","Civil Hospital Campus, Asarwa, Ahmedabad, Gujarat 380016","Approx ₹1,50,000 per year",N/A,Yes,Yes ,https://www.bjmc.edu.in/
"Gujarat Adani Institute of Medical Sciences, Ahmedabad ","Shantigram, SG Highway, Ahmedabad, Gujarat 382425 ","Approx ₹4,00,000 per year",N/A,Yes,Yes ,https://www.gaims.edu/
Smt. N.H.L. Municipal Medical College,"Pritan Rai Cross Road, Ellise Bridge, Paldi, Ahmedabad, Gujarat 380006",₹26.68L,N/A,yes,No ,https://www.amcmet.org/college/test-2/
GCS Medical College,"Opp. D.R.M. Office, Near Chamunda Bridge, Naroda Road, Ahmedabad-380 025. Gujarat,",₹38.7L,N/A,yes,Yes ,https://www.gcsmc.org/
SAL Education,"Science City Rd, Sola, Ahmedabad, Gujarat 380060",N/A,N/A,Yes,Yes ,https://www.sal.edu.in/
"GMERS Medical College and Hospital, Sola","Sola Gam Rd, beside High Court, Shenbhai Nagar, Sola, Ahmedabad, Gujarat 380060",₹14.85L,N/A,Yes,No ,http://www.gmersmchsola.com/
Narendra Modi Medical College,"Lala Lajpat Rai Marg, Balvatika, Archana Society, Bhairavnath, Maninagar, Ahmedabad, Gujarat 380008",₹32.9L,N/A,Yes,No ,https://www.amcmet.org/college/narendra-modi-medical-college/
Dr. M.K. Shah Medical College and Research Centre," Opposite Akshar -111 Complex, Near Tapovan Circle,, Visat-Gandhinagar Highway, Chandkheda, Ahmedabad, Gujarat 382424",₹38.92L,N/A,yes,No ,https://www.mkshahmcrc.org/
AMC MET Medical College,"Lala Lajpat Rai Marg, Balvatika, Archana Society, Bhairavnath, Maninagar, Ahmedabad, Gujarat 380008",₹32.9L,N/A,Yes,No ,https://www.amcmet.org/
